palavra,n_vogais,vogais_unicas,letra_0,letra_1,letra_2,letra_3,letra_4,probabilidade,n_consoantes,consoantes_unicas,n_letras_diferentes
coxas,2,2,c,o,x,a,s,0.0,3,3,5
coxim,2,2,c,o,x,i,m,1.869473369351853e-05,3,3,5
coxos,2,1,c,o,x,o,s,1.869473369351853e-05,3,3,4
cozam,2,2,c,o,z,a,m,0.0,3,3,5
cozas,2,2,c,o,z,a,s,0.0,3,3,5
cozei,3,3,c,o,z,e,i,0.0,2,2,5
cozem,2,2,c,o,z,e,m,0.0,3,3,5
cozer,2,2,c,o,z,e,r,1.869473369351853e-05,3,3,5
cozes,2,2,c,o,z,e,s,0.0,3,3,5
cozeu,3,3,c,o,z,e,u,0.0,2,2,5
cozia,3,3,c,o,z,i,a,0.0,2,2,5
cocai,3,3,c,o,c,a,i,0.0,2,1,4
cocam,2,2,c,o,c,a,m,0.0,3,2,4
cocar,2,2,c,o,c,a,r,9.347366846759269e-05,3,2,4
cocas,2,2,c,o,c,a,s,0.0,3,2,4
cocou,3,2,c,o,c,o,u,1.869473369351853e-05,2,1,3
coiba,3,3,c,o,i,b,a,1.869473369351853e-05,2,2,5
coibe,3,3,c,o,i,b,e,0.0,2,2,5
coibo,3,2,c,o,i,b,o,0.0,2,2,4
crava,2,1,c,r,a,v,a,1.869473369351853e-05,3,3,4
crave,2,2,c,r,a,v,e,0.0,3,3,5
cravo,2,2,c,r,a,v,o,9.347366846759269e-05,3,3,5
crede,2,1,c,r,e,d,e,0.0,3,3,4
credo,2,2,c,r,e,d,o,1.869473369351853e-05,3,3,5
creia,3,3,c,r,e,i,a,0.0001121684021611,2,2,5
creio,3,3,c,r,e,i,o,0.0016077470976425,2,2,5
crema,2,2,c,r,e,m,a,0.0,3,3,5
creme,2,1,c,r,e,m,e,1.869473369351853e-05,3,3,4
cremo,2,2,c,r,e,m,o,0.0,3,3,5
crera,2,2,c,r,e,r,a,0.0,3,2,4
criai,3,2,c,r,i,a,i,0.0,2,2,4
criam,2,2,c,r,i,a,m,3.738946738703707e-05,3,3,5
criar,2,2,c,r,i,a,r,0.0001495578695481,3,2,4
crias,2,2,c,r,i,a,s,9.347366846759269e-05,3,3,5
crido,2,2,c,r,i,d,o,0.0,3,3,5
criei,3,2,c,r,i,e,i,9.347366846759269e-05,2,2,4
criem,2,2,c,r,i,e,m,0.0,3,3,5
cries,2,2,c,r,i,e,s,0.0,3,3,5
crime,2,2,c,r,i,m,e,0.0003365052064833,3,3,5
crina,2,2,c,r,i,n,a,0.0,3,3,5
criou,3,3,c,r,i,o,u,0.0001682526032416,2,2,5
crise,2,2,c,r,i,s,e,0.0002430315380157,3,3,5
criva,2,2,c,r,i,v,a,0.0,3,3,5
crive,2,2,c,r,i,v,e,0.0,3,3,5
crivo,2,2,c,r,i,v,o,1.869473369351853e-05,3,3,5
croma,2,2,c,r,o,m,a,0.0,3,3,5
crome,2,2,c,r,o,m,e,0.0,3,3,5
cromo,2,1,c,r,o,m,o,0.0,3,3,4
cruas,2,2,c,r,u,a,s,1.869473369351853e-05,3,3,5
cruel,2,2,c,r,u,e,l,0.0004673683423379,3,3,5
cruza,2,2,c,r,u,z,a,0.0,3,3,5
cruze,2,2,c,r,u,z,e,0.0,3,3,5
cruzo,2,2,c,r,u,z,o,0.0,3,3,5
creem,2,1,c,r,e,e,m,1.869473369351853e-05,3,3,4
cubas,2,2,c,u,b,a,s,0.0,3,3,5
cubos,2,2,c,u,b,o,s,0.0,3,3,5
cubra,2,2,c,u,b,r,a,0.0,3,3,5
cubro,2,2,c,u,b,r,o,0.0,3,3,5
cucas,2,2,c,u,c,a,s,0.0,3,2,4
cucos,2,2,c,u,c,o,s,0.0,3,2,4
cueca,3,3,c,u,e,c,a,0.0,2,1,4
cuias,3,3,c,u,i,a,s,1.869473369351853e-05,2,2,5
cuida,3,3,c,u,i,d,a,7.477893477407414e-05,2,2,5
cuide,3,3,c,u,i,d,e,5.608420108055561e-05,2,2,5
cuido,3,3,c,u,i,d,o,0.0001308631358546,2,2,5
cujas,2,2,c,u,j,a,s,0.0004486736086444,3,3,5
cujos,2,2,c,u,j,o,s,0.0002991157390962,3,3,5
cujus,2,1,c,u,j,u,s,0.0,3,3,4
culpa,2,2,c,u,l,p,a,0.000542147277112,3,3,5
culpe,2,2,c,u,l,p,e,0.0,3,3,5
culpo,2,2,c,u,l,p,o,1.869473369351853e-05,3,3,5
culta,2,2,c,u,l,t,a,1.869473369351853e-05,3,3,5
culto,2,2,c,u,l,t,o,5.608420108055561e-05,3,3,5
cumes,2,2,c,u,m,e,s,0.0,3,3,5
cunha,2,2,c,u,n,h,a,0.0002991157390962,3,3,5
cunhe,2,2,c,u,n,h,e,0.0,3,3,5
cunho,2,2,c,u,n,h,o,1.869473369351853e-05,3,3,5
cupim,2,2,c,u,p,i,m,1.869473369351853e-05,3,3,5
cupom,2,2,c,u,p,o,m,0.0,3,3,5
curai,3,3,c,u,r,a,i,0.0,2,2,5
curam,2,2,c,u,r,a,m,0.0,3,3,5
curar,2,2,c,u,r,a,r,0.0001495578695481,3,2,4
curas,2,2,c,u,r,a,s,1.869473369351853e-05,3,3,5
curei,3,3,c,u,r,e,i,0.0,2,2,5
curem,2,2,c,u,r,e,m,1.869473369351853e-05,3,3,5
cures,2,2,c,u,r,e,s,0.0,3,3,5
curou,3,2,c,u,r,o,u,7.477893477407414e-05,2,2,4
cursa,2,2,c,u,r,s,a,0.0,3,3,5
curse,2,2,c,u,r,s,e,0.0,3,3,5
curso,2,2,c,u,r,s,o,0.0004486736086444,3,3,5
curta,2,2,c,u,r,t,a,0.0003738946738703,3,3,5
curte,2,2,c,u,r,t,e,1.869473369351853e-05,3,3,5
curti,2,2,c,u,r,t,i,0.0,3,3,5
curto,2,2,c,u,r,t,o,0.0003178104727898,3,3,5
curva,2,2,c,u,r,v,a,0.0002617262717092,3,3,5
curve,2,2,c,u,r,v,e,3.738946738703707e-05,3,3,5
curvo,2,2,c,u,r,v,o,3.738946738703707e-05,3,3,5
cuspa,2,2,c,u,s,p,a,0.0,3,3,5
cuspi,2,2,c,u,s,p,i,0.0,3,3,5
cuspo,2,2,c,u,s,p,o,0.0,3,3,5
custa,2,2,c,u,s,t,a,0.000504757809725,3,3,5
custe,2,2,c,u,s,t,e,3.738946738703707e-05,3,3,5
custo,2,2,c,u,s,t,o,0.0002804210054027,3,3,5
cuica,3,3,c,u,i,c,a,0.0,2,1,4
capua,3,2,c,a,p,u,a,1.869473369351853e-05,2,2,4
celia,3,3,c,e,l,i,a,0.0,2,2,5
cesio,3,3,c,e,s,i,o,0.0,2,2,5
cilio,3,2,c,i,l,i,o,0.0,2,2,4
cirio,3,2,c,i,r,i,o,3.738946738703707e-05,2,2,4
colon,2,1,c,o,l,o,n,0.0,3,3,4
codea,3,3,c,o,d,e,a,0.0,2,2,5
curia,3,3,c,u,r,i,a,1.869473369351853e-05,2,2,5
cutis,2,2,c,u,t,i,s,0.0,3,3,5
dadas,2,1,d,a,d,a,s,0.0001308631358546,3,2,3
dados,2,2,d,a,d,o,s,0.000579536744499,3,2,4
damas,2,1,d,a,m,a,s,0.000542147277112,3,3,4
damos,2,2,d,a,m,o,s,3.738946738703707e-05,3,3,5
danai,3,2,d,a,n,a,i,0.0,2,2,4
danam,2,1,d,a,n,a,m,0.0,3,3,4
danar,2,1,d,a,n,a,r,0.0,3,3,4
danas,2,1,d,a,n,a,s,0.0,3,3,4
dance,2,2,d,a,n,c,e,0.0,3,3,5
dando,2,2,d,a,n,d,o,0.0011403787553046,3,2,4
danei,3,3,d,a,n,e,i,0.0,2,2,5
danem,2,2,d,a,n,e,m,1.869473369351853e-05,3,3,5
danes,2,2,d,a,n,e,s,0.0,3,3,5
danos,2,2,d,a,n,o,s,1.869473369351853e-05,3,3,5
danou,3,3,d,a,n,o,u,0.0,2,2,5
dante,2,2,d,a,n,t,e,3.738946738703707e-05,3,3,5
danca,2,1,d,a,n,c,a,0.0001121684021611,3,3,4
danco,2,2,d,a,n,c,o,0.0,3,3,5
daqui,3,3,d,a,q,u,i,0.0012899366248527,2,2,5
dardo,2,2,d,a,r,d,o,5.608420108055561e-05,3,2,4
darei,3,3,d,a,r,e,i,0.0003178104727898,2,2,5
darem,2,2,d,a,r,e,m,0.0001682526032416,3,3,5
dares,2,2,d,a,r,e,s,0.0001308631358546,3,3,5
daria,3,2,d,a,r,i,a,0.0004486736086444,2,2,4
daras,2,1,d,a,r,a,s,5.608420108055561e-05,3,3,4
darao,3,2,d,a,r,a,o,3.738946738703707e-05,2,2,4
datai,3,2,d,a,t,a,i,0.0,2,2,4
datam,2,1,d,a,t,a,m,1.869473369351853e-05,3,3,4
datar,2,1,d,a,t,a,r,0.0,3,3,4
datas,2,1,d,a,t,a,s,0.0001495578695481,3,3,4
datei,3,3,d,a,t,e,i,0.0,2,2,5
datem,2,2,d,a,t,e,m,0.0,3,3,5
dates,2,2,d,a,t,e,s,0.0,3,3,5
datou,3,3,d,a,t,o,u,0.0,2,2,5
davam,2,1,d,a,v,a,m,0.0005608420108055,3,3,4
davas,2,1,d,a,v,a,s,0.0,3,3,4
decai,3,3,d,e,c,a,i,7.477893477407414e-05,2,2,5
dedal,2,2,d,e,d,a,l,1.869473369351853e-05,3,2,4
dedos,2,2,d,e,d,o,s,0.0006730104129666,3,2,4
deduz,2,2,d,e,d,u,z,0.0,3,2,4
dedao,3,3,d,e,d,a,o,0.0,2,1,4
deita,3,3,d,e,i,t,a,7.477893477407414e-05,2,2,5
deite,3,2,d,e,i,t,e,9.347366846759269e-05,2,2,4
deito,3,3,d,e,i,t,o,0.0,2,2,5
deixa,3,3,d,e,i,x,a,0.0009721261520629,2,2,5
deixe,3,2,d,e,i,x,e,0.0004299788749509,2,2,4
deixo,3,3,d,e,i,x,o,0.0002243368043222,2,2,5
delas,2,2,d,e,l,a,s,0.0009721261520629,3,3,5
deles,2,1,d,e,l,e,s,0.0018133891682712,3,3,4
delta,2,2,d,e,l,t,a,0.0,3,3,5
demos,2,2,d,e,m,o,s,0.0001308631358546,3,3,5
demao,3,3,d,e,m,a,o,0.0,2,2,5
densa,2,2,d,e,n,s,a,7.477893477407414e-05,3,3,5
denso,2,2,d,e,n,s,o,1.869473369351853e-05,3,3,5
dente,2,1,d,e,n,t,e,9.347366846759269e-05,3,3,4
depor,2,2,d,e,p,o,r,1.869473369351853e-05,3,3,5
depus,2,2,d,e,p,u,s,0.0,3,3,5
depos,2,2,d,e,p,o,s,0.0,3,3,5
depoe,3,2,d,e,p,o,e,1.869473369351853e-05,2,2,4
deram,2,2,d,e,r,a,m,0.00100951561945,3,3,5
deras,2,2,d,e,r,a,s,0.0,3,3,5
derem,2,1,d,e,r,e,m,0.0001495578695481,3,3,4
deres,2,1,d,e,r,e,s,1.869473369351853e-05,3,3,4
dermo,2,2,d,e,r,m,o,0.0,3,3,5
desce,2,1,d,e,s,c,e,0.0002430315380157,3,3,4
desci,2,2,d,e,s,c,i,5.608420108055561e-05,3,3,5
desde,2,1,d,e,s,d,e,0.0032341889289787,3,2,3
despe,2,1,d,e,s,p,e,0.0,3,3,4
despi,2,2,d,e,s,p,i,0.0,3,3,5
dessa,2,2,d,e,s,s,a,0.0007477893477407,3,2,4
desse,2,1,d,e,s,s,e,0.0017946944345777,3,2,3
desta,2,2,d,e,s,t,a,0.0031781047278981,3,3,5
deste,2,1,d,e,s,t,e,0.0033837467985268,3,3,4
desca,2,2,d,e,s,c,a,3.738946738703707e-05,3,3,5
desco,2,2,d,e,s,c,o,0.0,3,3,5
deter,2,1,d,e,t,e,r,3.738946738703707e-05,3,3,4
detem,2,1,d,e,t,e,m,1.869473369351853e-05,3,3,4
deusa,3,3,d,e,u,s,a,0.0,2,2,5
devam,2,2,d,e,v,a,m,1.869473369351853e-05,3,3,5
devas,2,2,d,e,v,a,s,0.0,3,3,5
devei,3,2,d,e,v,e,i,0.0,2,2,4
devem,2,1,d,e,v,e,m,0.0008038735488212,3,3,4
dever,2,1,d,e,v,e,r,0.0003365052064833,3,3,4
deves,2,1,d,e,v,e,s,0.0001121684021611,3,3,4
deveu,3,2,d,e,v,e,u,0.0,2,2,4
devia,3,3,d,e,v,i,a,0.0019442523041259,2,2,5
diabo,3,3,d,i,a,b,o,0.0014768839617879,2,2,5
dicas,2,2,d,i,c,a,s,0.0,3,3,5
dieta,3,3,d,i,e,t,a,3.738946738703707e-05,2,2,5
digam,2,2,d,i,g,a,m,0.0001495578695481,3,3,5
digas,2,2,d,i,g,a,s,0.0002991157390962,3,3,5
digna,2,2,d,i,g,n,a,0.0004112841412574,3,3,5
digne,2,2,d,i,g,n,e,0.0,3,3,5
digno,2,2,d,i,g,n,o,0.0001308631358546,3,3,5
dilua,3,3,d,i,l,u,a,0.0,2,2,5
dilui,3,2,d,i,l,u,i,0.0,2,2,4
diluo,3,3,d,i,l,u,o,0.0,2,2,5
diodo,3,2,d,i,o,d,o,0.0,2,1,3
dique,3,3,d,i,q,u,e,1.869473369351853e-05,2,2,5
direi,3,2,d,i,r,e,i,0.0003925894075638,2,2,4
diria,3,2,d,i,r,i,a,0.0004112841412574,2,2,4
diras,2,2,d,i,r,a,s,3.738946738703707e-05,3,3,5
dirao,3,3,d,i,r,a,o,0.0001495578695481,2,2,5
disca,2,2,d,i,s,c,a,0.0,3,3,5
disco,2,2,d,i,s,c,o,3.738946738703707e-05,3,3,5
dispo,2,2,d,i,s,p,o,0.0,3,3,5
disse,2,2,d,i,s,s,e,0.0149557869548148,3,2,4
disso,2,2,d,i,s,s,o,0.0010655998205305,3,2,4
dista,2,2,d,i,s,t,a,0.0,3,3,5
diste,2,2,d,i,s,t,e,0.0,3,3,5
disto,2,2,d,i,s,t,o,0.0011590734889981,3,3,5
ditai,3,2,d,i,t,a,i,0.0,2,2,4
ditam,2,2,d,i,t,a,m,0.0,3,3,5
ditar,2,2,d,i,t,a,r,1.869473369351853e-05,3,3,5
ditas,2,2,d,i,t,a,s,7.477893477407414e-05,3,3,5
ditei,3,2,d,i,t,e,i,0.0,2,2,4
ditem,2,2,d,i,t,e,m,0.0,3,3,5
dites,2,2,d,i,t,e,s,0.0,3,3,5
ditos,2,2,d,i,t,o,s,7.477893477407414e-05,3,3,5
ditou,3,3,d,i,t,o,u,0.0,2,2,5
divas,2,2,d,i,v,a,s,0.0,3,3,5
dizei,3,2,d,i,z,e,i,7.477893477407414e-05,2,2,4
dizem,2,2,d,i,z,e,m,0.0014955786954814,3,3,5
dizer,2,2,d,i,z,e,r,0.0091043353087435,3,3,5
dizes,2,2,d,i,z,e,s,0.0003925894075638,3,3,5
dizia,3,2,d,i,z,i,a,0.0017759997008842,2,2,4
doada,3,2,d,o,a,d,a,0.0,2,1,3
doado,3,2,d,o,a,d,o,0.0,2,1,3
doais,3,3,d,o,a,i,s,0.0,2,2,5
doamo,3,2,d,o,a,m,o,0.0,2,2,4
doara,3,2,d,o,a,r,a,0.0,2,2,4
doava,3,2,d,o,a,v,a,0.0,2,2,4
dobra,2,2,d,o,b,r,a,0.0001121684021611,3,3,5
dobre,2,2,d,o,b,r,e,3.738946738703707e-05,3,3,5
dobro,2,1,d,o,b,r,o,7.477893477407414e-05,3,3,4
docas,2,2,d,o,c,a,s,0.0,3,3,5
doeis,3,3,d,o,e,i,s,0.0,2,2,5
doera,3,3,d,o,e,r,a,3.738946738703707e-05,2,2,5
dogma,2,2,d,o,g,m,a,1.869473369351853e-05,3,3,5
doida,3,3,d,o,i,d,a,0.0001682526032416,2,1,4
doido,3,2,d,o,i,d,o,0.0008225682825148,2,1,3
domai,3,3,d,o,m,a,i,0.0,2,2,5
domam,2,2,d,o,m,a,m,0.0,3,2,4
domar,2,2,d,o,m,a,r,0.0,3,3,5
domas,2,2,d,o,m,a,s,0.0,3,3,5
domei,3,3,d,o,m,e,i,0.0,2,2,5
domem,2,2,d,o,m,e,m,0.0,3,2,4
domes,2,2,d,o,m,e,s,0.0,3,3,5
domou,3,2,d,o,m,o,u,0.0,2,2,4
donas,2,2,d,o,n,a,s,0.0009908208857564,3,3,5
donde,2,2,d,o,n,d,e,0.0008786524835953,3,2,4
donos,2,1,d,o,n,o,s,0.0001121684021611,3,3,4
dopai,3,3,d,o,p,a,i,0.0,2,2,5
dopam,2,2,d,o,p,a,m,0.0,3,3,5
dopar,2,2,d,o,p,a,r,0.0,3,3,5
dopas,2,2,d,o,p,a,s,0.0,3,3,5
dopei,3,3,d,o,p,e,i,0.0,2,2,5
dopem,2,2,d,o,p,e,m,0.0,3,3,5
dopes,2,2,d,o,p,e,s,0.0,3,3,5
dopou,3,2,d,o,p,o,u,0.0,2,2,4
dores,2,2,d,o,r,e,s,0.0001869473369351,3,3,5
dorme,2,2,d,o,r,m,e,0.0004860630760314,3,3,5
dormi,2,2,d,o,r,m,i,9.347366846759269e-05,3,3,5
dorso,2,1,d,o,r,s,o,9.347366846759269e-05,3,3,4
dosai,3,3,d,o,s,a,i,0.0,2,2,5
dosam,2,2,d,o,s,a,m,0.0,3,3,5
dosar,2,2,d,o,s,a,r,0.0,3,3,5
dosas,2,2,d,o,s,a,s,0.0,3,2,4
dosei,3,3,d,o,s,e,i,0.0,2,2,5
dosem,2,2,d,o,s,e,m,0.0,3,3,5
doses,2,2,d,o,s,e,s,0.0,3,2,4
dosou,3,2,d,o,s,o,u,0.0,2,2,4
dotai,3,3,d,o,t,a,i,0.0,2,2,5
dotam,2,2,d,o,t,a,m,0.0,3,3,5
dotar,2,2,d,o,t,a,r,0.0,3,3,5
dotas,2,2,d,o,t,a,s,0.0,3,3,5
dotei,3,3,d,o,t,e,i,0.0,2,2,5
dotem,2,2,d,o,t,e,m,0.0,3,3,5
dotes,2,2,d,o,t,e,s,5.608420108055561e-05,3,3,5
dotou,3,2,d,o,t,o,u,1.869473369351853e-05,2,2,4
doura,3,3,d,o,u,r,a,0.0,2,2,5
doure,3,3,d,o,u,r,e,0.0,2,2,5
douro,3,2,d,o,u,r,o,0.0,2,2,4
douta,3,3,d,o,u,t,a,0.0,2,2,5
douto,3,2,d,o,u,t,o,0.0,2,2,4
doiam,3,3,d,o,i,a,m,3.738946738703707e-05,2,2,5
doias,3,3,d,o,i,a,s,0.0,2,2,5
draga,2,1,d,r,a,g,a,0.0,3,3,4
drago,2,2,d,r,a,g,o,0.0,3,3,5
drama,2,1,d,r,a,m,a,0.0003178104727898,3,3,4
drena,2,2,d,r,e,n,a,0.0,3,3,5
drene,2,1,d,r,e,n,e,0.0,3,3,4
dreno,2,2,d,r,e,n,o,1.869473369351853e-05,3,3,5
droga,2,2,d,r,o,g,a,5.608420108055561e-05,3,3,5
drogo,2,1,d,r,o,g,o,0.0,3,3,4
duais,3,3,d,u,a,i,s,0.0,2,2,5
dubla,2,2,d,u,b,l,a,0.0,3,3,5
duble,2,2,d,u,b,l,e,0.0,3,3,5
dublo,2,2,d,u,b,l,o,0.0,3,3,5
ducha,2,2,d,u,c,h,a,0.0,3,3,5
duela,3,3,d,u,e,l,a,0.0,2,2,5
duele,3,2,d,u,e,l,e,0.0,2,2,4
duelo,3,3,d,u,e,l,o,0.0001308631358546,2,2,5
dueto,3,3,d,u,e,t,o,0.0,2,2,5
dumas,2,2,d,u,m,a,s,1.869473369351853e-05,3,3,5
dunas,2,2,d,u,n,a,s,1.869473369351853e-05,3,3,5
dunga,2,2,d,u,n,g,a,0.0,3,3,5
dupla,2,2,d,u,p,l,a,1.869473369351853e-05,3,3,5
duplo,2,2,d,u,p,l,o,3.738946738703707e-05,3,3,5
duque,3,2,d,u,q,u,e,0.0032528836626722,2,2,4
durai,3,3,d,u,r,a,i,0.0,2,2,5
duram,2,2,d,u,r,a,m,1.869473369351853e-05,3,3,5
durar,2,2,d,u,r,a,r,0.0001121684021611,3,2,4
duras,2,2,d,u,r,a,s,0.0001682526032416,3,3,5
durei,3,3,d,u,r,e,i,0.0,2,2,5
durem,2,2,d,u,r,e,m,0.0,3,3,5
dures,2,2,d,u,r,e,s,0.0,3,3,5
durma,2,2,d,u,r,m,a,3.738946738703707e-05,3,3,5
durmo,2,2,d,u,r,m,o,5.608420108055561e-05,3,3,5
duros,2,2,d,u,r,o,s,0.0002243368043222,3,3,5
durou,3,2,d,u,r,o,u,0.0001121684021611,2,2,4
dutos,2,2,d,u,t,o,s,0.0,3,3,5
dalia,3,2,d,a,l,i,a,0.0,2,2,4
debil,2,2,d,e,b,i,l,5.608420108055561e-05,3,3,5
dolar,2,2,d,o,l,a,r,0.0,3,3,5
dubia,3,3,d,u,b,i,a,7.477893477407414e-05,2,2,5
dubio,3,3,d,u,b,i,o,5.608420108055561e-05,2,2,5
duzia,3,3,d,u,z,i,a,0.0006543156792731,2,2,5
ecoai,4,4,e,c,o,a,i,0.0,1,1,5
ecoam,3,3,e,c,o,a,m,5.608420108055561e-05,2,2,5
ecoar,3,3,e,c,o,a,r,0.0,2,2,5
ecoas,3,3,e,c,o,a,s,0.0,2,2,5
ecoei,4,3,e,c,o,e,i,0.0,1,1,4
ecoem,3,2,e,c,o,e,m,0.0,2,2,4
ecoes,3,2,e,c,o,e,s,0.0,2,2,4
ecoou,4,3,e,c,o,o,u,1.869473369351853e-05,1,1,4
edema,3,2,e,d,e,m,a,0.0,2,2,4
edita,3,3,e,d,i,t,a,0.0,2,2,5
edito,3,3,e,d,i,t,o,0.0,2,2,5
educa,3,3,e,d,u,c,a,0.0,2,2,5
educo,3,3,e,d,u,c,o,0.0,2,2,5
eiras,3,3,e,i,r,a,s,1.869473369351853e-05,2,2,5
eixos,3,3,e,i,x,o,s,7.477893477407414e-05,2,2,5
ejeta,3,2,e,j,e,t,a,0.0,2,2,4
ejete,3,1,e,j,e,t,e,0.0,2,2,3
ejeto,3,2,e,j,e,t,o,0.0,2,2,4
elege,3,1,e,l,e,g,e,0.0,2,2,3
elegi,3,2,e,l,e,g,i,0.0,2,2,4
eleja,3,2,e,l,e,j,a,0.0,2,2,4
elejo,3,2,e,l,e,j,o,0.0,2,2,4
eleva,3,2,e,l,e,v,a,0.0,2,2,4
eleve,3,1,e,l,e,v,e,0.0,2,2,3
elevo,3,2,e,l,e,v,o,0.0,2,2,4
elite,3,2,e,l,i,t,e,0.0,2,2,4
elixe,3,2,e,l,i,x,e,0.0,2,2,4
elixi,3,2,e,l,i,x,i,0.0,2,2,4
elixo,3,3,e,l,i,x,o,0.0,2,2,5
elmos,2,2,e,l,m,o,s,1.869473369351853e-05,3,3,5
emana,3,2,e,m,a,n,a,0.0,2,2,4
emane,3,2,e,m,a,n,e,0.0,2,2,4
emano,3,3,e,m,a,n,o,0.0,2,2,5
emita,3,3,e,m,i,t,a,0.0,2,2,5
emite,3,2,e,m,i,t,e,0.0,2,2,4
emiti,3,2,e,m,i,t,i,0.0,2,2,4
emito,3,3,e,m,i,t,o,0.0,2,2,5
emula,3,3,e,m,u,l,a,0.0,2,2,5
emule,3,2,e,m,u,l,e,0.0,2,2,4
emulo,3,3,e,m,u,l,o,3.738946738703707e-05,2,2,5
encha,2,2,e,n,c,h,a,1.869473369351853e-05,3,3,5
enche,2,1,e,n,c,h,e,0.0002056420706287,3,3,4
enchi,2,2,e,n,c,h,i,0.0,3,3,5
encho,2,2,e,n,c,h,o,0.0,3,3,5
enfia,3,3,e,n,f,i,a,7.477893477407414e-05,2,2,5
enfie,3,2,e,n,f,i,e,0.0,2,2,4
enfim,2,2,e,n,f,i,m,0.0018881681030453,3,3,5
enfio,3,3,e,n,f,i,o,0.0,2,2,5
enjoa,3,3,e,n,j,o,a,0.0,2,2,5
enjoe,3,2,e,n,j,o,e,0.0,2,2,4
enjoo,3,2,e,n,j,o,o,0.0,2,2,4
enoja,3,3,e,n,o,j,a,1.869473369351853e-05,2,2,5
enoje,3,2,e,n,o,j,e,0.0,2,2,4
enojo,3,2,e,n,o,j,o,0.0,2,2,4
entes,2,1,e,n,t,e,s,7.477893477407414e-05,3,3,4
entoa,3,3,e,n,t,o,a,0.0,2,2,5
entoe,3,2,e,n,t,o,e,0.0,2,2,4
entra,2,2,e,n,t,r,a,0.0004860630760314,3,3,5
entre,2,1,e,n,t,r,e,0.0110111981454824,3,3,4
entro,2,2,e,n,t,r,o,0.0001121684021611,3,3,5
entao,3,3,e,n,t,a,o,0.0067301041296666,2,2,5
entoo,3,2,e,n,t,o,o,0.0,2,2,4
envia,3,3,e,n,v,i,a,9.347366846759269e-05,2,2,5
envie,3,2,e,n,v,i,e,1.869473369351853e-05,2,2,4
envio,3,3,e,n,v,i,o,3.738946738703707e-05,2,2,5
ereta,3,2,e,r,e,t,a,9.347366846759269e-05,2,2,4
ereto,3,2,e,r,e,t,o,7.477893477407414e-05,2,2,4
ergam,2,2,e,r,g,a,m,0.0,3,3,5
ergas,2,2,e,r,g,a,s,0.0,3,3,5
ergue,3,2,e,r,g,u,e,9.347366846759269e-05,2,2,4
ergui,3,3,e,r,g,u,i,0.0,2,2,5
erice,3,2,e,r,i,c,e,0.0,2,2,4
erigi,3,2,e,r,i,g,i,0.0,2,2,4
erija,3,3,e,r,i,j,a,1.869473369351853e-05,2,2,5
erijo,3,3,e,r,i,j,o,0.0,2,2,5
erica,3,3,e,r,i,c,a,0.0,2,2,5
erico,3,3,e,r,i,c,o,0.0,2,2,5
ermos,2,2,e,r,m,o,s,0.0003738946738703,3,3,5
eroda,3,3,e,r,o,d,a,0.0,2,2,5
erode,3,2,e,r,o,d,e,0.0,2,2,4
erodi,3,3,e,r,o,d,i,0.0,2,2,5
erodo,3,2,e,r,o,d,o,0.0,2,2,4
errai,3,3,e,r,r,a,i,0.0,2,1,4
erram,2,2,e,r,r,a,m,0.0,3,2,4
errar,2,2,e,r,r,a,r,0.0001682526032416,3,1,3
erras,2,2,e,r,r,a,s,1.869473369351853e-05,3,2,4
errei,3,2,e,r,r,e,i,0.0,2,1,3
errem,2,1,e,r,r,e,m,0.0,3,2,3
erres,2,1,e,r,r,e,s,0.0,3,2,3
erros,2,2,e,r,r,o,s,0.0003178104727898,3,2,4
errou,3,3,e,r,r,o,u,1.869473369351853e-05,2,1,4
ervas,2,2,e,r,v,a,s,0.0001308631358546,3,3,5
erige,3,2,e,r,i,g,e,3.738946738703707e-05,2,2,4
escoa,3,3,e,s,c,o,a,0.0,2,2,5
escoe,3,2,e,s,c,o,e,0.0,2,2,4
escol,2,2,e,s,c,o,l,0.0,3,3,5
escoo,3,2,e,s,c,o,o,0.0,2,2,4
espia,3,3,e,s,p,i,a,0.0,2,2,5
espie,3,2,e,s,p,i,e,0.0,2,2,4
espio,3,3,e,s,p,i,o,0.0,2,2,5
esqui,3,3,e,s,q,u,i,0.0,2,2,5
essas,2,2,e,s,s,a,s,0.0013647155596268,3,1,3
esses,2,1,e,s,s,e,s,0.0014021050270138,3,1,2
estai,3,3,e,s,t,a,i,0.0,2,2,5
estar,2,2,e,s,t,a,r,0.0022059785758351,3,3,5
estas,2,2,e,s,t,a,s,0.0039445888093324,3,2,4
estes,2,1,e,s,t,e,s,0.0032902731300592,3,2,3
estio,3,3,e,s,t,i,o,0.0003365052064833,2,2,5
estou,3,3,e,s,t,o,u,0.002093810173674,2,2,5
estao,3,3,e,s,t,a,o,0.0018694733693518,2,2,5
esvai,3,3,e,s,v,a,i,1.869473369351853e-05,2,2,5
etano,3,3,e,t,a,n,o,0.0,2,2,5
etapa,3,2,e,t,a,p,a,0.0,2,2,4
eteno,3,2,e,t,e,n,o,0.0,2,2,4
etilo,3,3,e,t,i,l,o,0.0,2,2,5
etnia,3,3,e,t,n,i,a,0.0,2,2,5
etipe,3,2,e,t,i,p,e,0.0,2,2,4
evada,3,2,e,v,a,d,a,0.0,2,2,4
evade,3,2,e,v,a,d,e,0.0,2,2,4
evadi,3,3,e,v,a,d,i,0.0,2,2,5
